제품,상세설명,AC or DC,제품군,보호종류,통신여부,통신종류,누설(지락),단락,과전류/저전류,결상,역상,과전압/저전압,전력,내장 ZCT,,,,,,,,
DCL-70RBM,DCL 70R 24 MAN,DC,Analog,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DCL-70RY7M,DCL 70R 110/220 MAN,DC,Analog,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DCL-70RY7R,DCL 70R 110/220 AUTO,DC,Analog,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DOCRD-HALLZ7,DOCR DIGITAL HALL-SENSOR,DC,Digital,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DOCRD-SHUNTB,DOCR DIGITAL 24 SHUNT,DC,Digital,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DOCRD-SHUNTZ7,DOCR DIGITAL SHUNT,DC,Digital,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DOCRD-SHUNTZ7X,DOCR DIGITAL SHUNT NONPOLAR,DC,Digital,전류,비통신,불가,불가,불가,과전류,불가,불가,불가,불가,,,,,,,,,
DUVR-110RY7R,DUVR 110R 110/220 AUTO,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,저전압,불가,,,,,,,,,
DUVR-220RY7M,DUVR 220R 110/220 MAN,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,저전압,불가,,,,,,,,,
DUVR-220RY7R,DUVR 220R 110/220 AUTO,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,저전압,불가,,,,,,,,,
DUVR-30RY7M,DUVR 30R 110/220 MAN,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,저전압,불가,,,,,,,,,
DUVR-30RY7R,DUVR 30R 110/220 AUTO,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,저전압,불가,,,,,,,,,
DVR-110Z7,DVR 110,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,모든조건,불가,,,,,,,,,
DVR-220Z7,DVR 220,DC,Analog,전압,비통신,불가,불가,불가,불가,불가,불가,모든조건,불가,,,,,,,,,
EOCRAR-05S,EOCRAR 05 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
EOCRAR-30S,EOCRAR 30 24~240V Standard,AC,Analog,전류,비통신,불가,불가,불가,과전류,X,X,불가,불가,,,,,,,,,
